STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,sex,Sex,age,Age class,n_child,Number of children,agechild,Age of the child,isced11,International Standard Classification of Education (ISCED 2011),unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:LFST_HHEREDCH(1.0),"Employment rate of adults by educational attainment level, number of children and age of youngest child",A,Annual,F,Females,Y25-49,From 25 to 49 years,0,No children,TOTAL,Total,TOTAL,All ISCED 2011 levels,RT,Rate,BE,Belgium,2021,,79.5,,b,break in time series,,
dataflow,ESTAT:LFST_HHEREDCH(1.0),"Employment rate of adults by educational attainment level, number of children and age of youngest child",A,Annual,F,Females,Y25-49,From 25 to 49 years,0,No children,TOTAL,Total,TOTAL,All ISCED 2011 levels,RT,Rate,BE,Belgium,2022,,81.3,,,,,
dataflow,ESTAT:LFST_HHEREDCH(1.0),"Employment rate of adults by educational attainment level, number of children and age of youngest child",A,Annual,F,Females,Y25-49,From 25 to 49 years,0,No children,TOTAL,Total,TOTAL,All ISCED 2011 levels,RT,Rate,BE,Belgium,2023,,81.4,,,,,
dataflow,ESTAT:LFST_HHEREDCH(1.0),"Employment rate of adults by educational attainment level, number of children and age of youngest child",A,Annual,F,Females,Y25-49,From 25 to 49 years,0,No children,TOTAL,Total,TOTAL,All ISCED 2011 levels,RT,Rate,BE,Belgium,2024,,79.7,,,,,
dataflow,ESTAT:LFST_HHEREDCH(1.0),"Employment rate of adults by educational attainment level, number of children and age of youngest child",A,Annual,F,Females,Y25-49,From 25 to 49 years,0,No children,TOTAL,Total,TOTAL,All ISCED 2011 levels,RT,Rate,BG,Bulgaria,2015,,79.3,,,,,
dataflow,ESTAT:LFST_HHEREDCH(1.0),"Employment rate of adults by educational attainment level, number of children and age of youngest child",A,Annual,F,Females,Y25-49,From 25 to 49 years,0,No children,TOTAL,Total,TOTAL,All ISCED 2011 levels,RT,Rate,BG,Bulgaria,2016,,76.5,,,,,
dataflow,ESTAT:LFST_HHEREDCH(1.0),"Employment rate of adults by educational attainment level, number of children and age of youngest child",A,Annual,F,Females,Y25-49,From 25 to 49 years,0,No children,TOTAL,Total,TOTAL,All ISCED 2011 levels,RT,Rate,BG,Bulgaria,2017,,80.8,,,,,
dataflow,ESTAT:LFST_HHEREDCH(1.0),"Employment rate of adults by educational attainment level, number of children and age of youngest child",A,Annual,F,Females,Y25-49,From 25 to 49 years,0,No children,TOTAL,Total,TOTAL,All ISCED 2011 levels,RT,Rate,BG,Bulgaria,2018,,81.3,,,,,
dataflow,ESTAT:LFST_HHEREDCH(1.0),"Employment rate of adults by educational attainment level, number of children and age of youngest child",A,Annual,F,Females,Y25-49,From 25 to 49 years,0,No children,TOTAL,Total,TOTAL,All ISCED 2011 levels,RT,Rate,BG,Bulgaria,2019,,84.0,,b,break in time series,,
dataflow,ESTAT:LFST_HHEREDCH(1.0),"Employment rate of adults by educational attainment level, number of children and age of youngest child",A,Annual,F,Females,Y25-49,From 25 to 49 years,0,No children,TOTAL,Total,TOTAL,All ISCED 2011 levels,RT,Rate,BG,Bulgaria,2020,,80.8,,,,,
dataflow,ESTAT:LFST_HHEREDCH(1.0),"Employment rate of adults by educational attainment level, number of children and age of youngest child",A,Annual,F,Females,Y25-49,From 25 to 49 years,0,No children,TOTAL,Total,TOTAL,All ISCED 2011 levels,RT,Rate,BG,Bulgaria,2021,,79.6,,b,break in time series,,
dataflow,ESTAT:LFST_HHEREDCH(1.0),"Employment rate of adults by educational attainment level, number of children and age of youngest child",A,Annual,F,Females,Y25-49,From 25 to 49 years,0,No children,TOTAL,Total,TOTAL,All ISCED 2011 levels,RT,Rate,BG,Bulgaria,2022,,81.1,,,,,
dataflow,ESTAT:LFST_HHEREDCH(1.0),"Employment rate of adults by educational attainment level, number of children and age of youngest child",A,Annual,F,Females,Y25-49,From 25 to 49 years,0,No children,TOTAL,Total,TOTAL,All ISCED 2011 levels,RT,Rate,BG,Bulgaria,2023,,82.7,,,,,
dataflow,ESTAT:LFST_HHEREDCH(1.0),"Employment rate of adults by educational attainment level, number of children and age of youngest child",A,Annual,F,Females,Y25-49,From 25 to 49 years,0,No children,TOTAL,Total,TOTAL,All ISCED 2011 levels,RT,Rate,BG,Bulgaria,2024,,82.2,,b,break in time series,,
dataflow,ESTAT:LFST_HHEREDCH(1.0),"Employment rate of adults by educational attainment level, number of children and age of youngest child",A,Annual,F,Females,Y25-49,From 25 to 49 years,0,No children,TOTAL,Total,TOTAL,All ISCED 2011 levels,RT,Rate,CY,Cyprus,2015,,78.5,,,,,
